1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2.13076,1.18066,1.05912,1.09823,0.919683,0.795946,0.73628,0.97304,0.880698,0.836302,0.803274,0.794213,0.767631,0.858805,0.807992,0.792736
11.3913,6.85209,4.81503,5.85854,4.99939,4.27307,4.07216,4.59937,4.30068,4.11136,4.10555,3.92872,3.89483,4.01871,3.9444,4.12611
23.3796,13.1172,9.34145,11.6194,10.2295,8.88803,8.13798,8.48987,8.85985,8.50789,8.48227,8.16686,8.12629,8.00745,8.01682,8.10267
125.322,71.3366,52.6622,56.3765,54.3121,51.4226,43.2618,44.029,43.6439,42.1643,46.0959,52.8775,50.5134,51.6434,55.7704,53.77
